foret,numero,code_essence,zone_h,x,y,lng,dm,lac
15440,270,24,30N,219357,580461,1400,55,
15440,271,24,30N,219297,580432,1400,46,
15440,272,24,30N,219308,580481,1500,57,
15440,273,23,30N,218745,582297,1500,57,O
15440,274,23,30N,217104,578525,1030,52,
15440,275,23,30N,217231,578595,1060,63,
15440,276,23,30N,218430,581439,1460,55,
15440,277,23,30N,218400,581509,800,57,
15440,278,23,30N,707761,723282,1480,67,
15440,279,23,30N,707738,723316,1400,47,
15440,280,2,30N,219405,581109,1170,60,
15440,281,23,30N,219359,580691,1300,67,
15440,282,23,30N,220474,577043,1400,67,
15440,283,23,30N,220208,577608,600,60,O
15440,284,23,30N,212190,576509,1400,60,O
15440,285,23,30N,221104,589612,1250,40,
15440,286,23,30N,215603,576103,1100,70,O
15440,287,23,30N,785521,732065,1280,60,O
15440,288,19,30N,217239,578573,930,105,O
15440,289,19,30N,217107,578558,970,133,
15440,290,19,30N,217123,578530,1400,80,O
15440,291,19,30N,217107,578658,1300,60,
15440,292,19,30N,217218,578585,1300,55,O
15440,293,19,30N,216761,578242,1200,76,
15440,294,19,30N,217187,578597,1260,55,O
15440,295,2,30N,218855,582291,1200,76,O
15440,296,19,30N,218863,582297,1160,76,
15440,297,19,30N,218888,582301,1100,60,
15440,298,19,30N,218744,582297,1200,80,
15440,299,19,30N,217108,578658,900,50,
15440,300,19,30N,218488,581503,1100,52,O
15440,301,19,30N,218380,581098,1380,80,O
15440,302,19,30N,218687,581795,1200,104,O
15440,303,19,30N,218595,581897,1180,112,O
15440,304,19,30N,219673,578987,1080,100,O
15440,305,19,30N,219685,579663,400,60,
15440,306,19,30N,219657,579814,1080,76,
15440,307,19,30N,219198,580432,700,76,
15440,308,19,30N,219677,579816,1300,55,
15440,309,19,30N,213817,577155,1170,76,
15440,310,19,30N,213905,577209,570,76,
15440,311,19,30N,213918,577281,500,105,
15440,312,19,30N,694012,728826,600,60,O
15440,313,19,30N,694086,728876,1500,76,O
15440,314,2,30N,694137,728883,1500,76,O
15440,315,19,30N,695244,728255,1000,80,O
15440,316,19,30N,708712,719188,1150,100,O
15440,317,19,30N,219066,581753,1000,110,O
15440,318,19,30N,219361,581297,980,90,O
15440,319,19,30N,219371,580337,1380,50,
15440,320,19,30N,219187,580413,1270,76,
15440,321,19,30N,219509,580894,1470,76,
15440,322,19,30N,219328,580907,1470,50,
15440,323,19,30N,219206,581025,1460,76,
15440,324,19,30N,219318,581066,1080,77,
15440,325,19,30N,219299,581085,1400,55,O
15440,326,19,30N,219416,581131,800,90,
15440,327,19,30N,219297,581081,1150,102,
15440,328,19,30N,219301,581122,980,130,
15440,329,19,30N,219266,581138,1100,118,
15440,330,19,30N,217258,578555,930,100,
15440,331,19,30N,217260,578553,1470,84,
15440,332,19,30N,219333,581092,1000,120,
15440,333,19,30N,219309,580480,950,124,
15440,334,19,30N,219311,580444,1200,76,
15440,335,19,30N,219030,581189,1180,115,
15440,336,19,30N,219087,581232,1000,90,
15440,337,19,30N,219095,581207,1000,120,O
15440,338,19,30N,219051,581128,1040,105,O
15440,339,19,30N,219041,581119,1080,70,O
