foret,numero,code_essence,zone_h,x,y,lng,dm,lac
50200,608911,ANB,30N,112453,762063,840,50,O
50200,608988,15,30N,354832,6799,1400,61,
50200,609022,15,29N,723515,733385,1100,92,
50200,609087,15,30N,258521,711662,1300,83,
50200,609096,15,30N,258452,712134,1070,71,
50200,609098,15,30N,258338,712079,1330,57,
50452,609101,15,30N,258320,711905,1480,82,O
50200,609102,15,30N,258546,711968,1050,74,
50200,609103,15,27N,258531,712071,1420,62,O
50200,609104,15,30N,258516,711925,1150,84,
50200,609105,15,30N,258544,711971,1380,80,
50200,609106,15,30N,258548,712010,1300,60,
50200,609107,15,30N,258526,712078,1380,69,
50200,609108,15,30N,258461,712169,1250,80,O
50200,609109,15,30N,258461,712169,1000,62,
50200,609113,15,30N,258475,712149,1290,74,
50200,609223,ADF,30N,259392,709268,1150,66,
50200,609232,15,30N,260799,709653,1450,78,
