foret,numero,code_essence,zone_h,x,y,lng,dm,lac
14260,1,19,30N,361951,969019,1450,90,
14260,2,19,30N,364161,699718,930,116,O
14260,3,991,30N,386740,698827,1030,57,O
14260,4,52,30N,386738,698825,1340,57,O
14260,5,19,30N,386736,698822,1300,76,O
14260,6,19,30N,386734,698820,1200,76,O
14260,7,19,30N,387567,698679,1400,74,O
14260,8,52,30N,387565,698677,900,58,O
14260,9,19,30N,387564,698675,1500,76,O
14260,10,19,30N,386763,698672,1380,60,O
14260,11,19,30N,362944,698627,1300,90,O
14260,12,52,30N,386748,698614,1430,65,O
14260,13,55,30N,386748,698585,1410,76,O
14260,14,19,30N,362750,698560,1410,78,O
14260,15,19,30N,362974,698557,1370,84,O
14260,16,55,30N,386705,698554,1280,57,O
14260,17,55,30N,386706,698551,1480,57,O
14260,18,19,30N,362758,698520,1260,120,O
14260,19,19,30N,362680,698512,1350,106,O
14260,20,19,30N,362462,698453,1450,102,O
14260,21,19,30N,362436,698437,820,100,O
14260,22,19,30N,362798,698342,1300,76,O
14260,23,19,30N,362433,698305,1400,76,O
14260,24,19,30N,362764,698249,1140,74,O
14260,25,991,30N,387668,698124,1340,67,O
14260,26,19,30N,387666,698122,1500,76,O
14260,27,19,30N,387664,698120,1200,65,O
14260,28,52,30N,387668,698111,1200,70,O
14260,29,19,30N,387660,698109,900,80,O
14260,30,19,30N,387662,698107,1070,130,O
14260,31,ABA,30N,385408,698042,1000,96,O
14260,32,44,30N,385413,698032,1280,57,O
14260,33,19,30N,385872,698025,1400,80,O
14260,34,AKR,30N,385844,698023,1480,57,O
14260,35,24,30N,385822,698022,1500,50,O
14260,36,ESE,30N,385745,698021,1500,58,O
14260,37,19,30N,385842,698020,1150,100,O
14260,38,31,30N,385822,698019,1000,51,O
14260,39,19,30N,385827,698017,1070,105,O
14260,40,IAT,30N,385830,698016,1250,57,O
14260,41,AOU,30N,385829,698013,1480,58,O
14260,42,19,30N,385824,698011,1300,102,O
14260,43,991,30N,385634,698011,1500,60,O
14260,44,ASA,30N,385821,698009,1180,57,O
14260,45,ANB,30N,385704,698008,1380,57,O
14260,46,55,30N,385660,698008,1500,57,O
14260,47,19,30N,385839,698007,1300,70,O
14260,48,19,30N,385819,698005,920,84,O
14260,49,KOD,30N,385836,698003,1200,90,O
14260,50,991,30N,385687,698002,1500,68,O
14260,51,19,30N,385833,698001,1170,60,O
14260,52,991,30N,385486,697997,1250,83,O
14260,53,ABA,30N,385533,697992,930,57,O
14260,54,19,30N,362121,697599,1500,76,O
14260,55,19,30N,362111,697575,940,76,
14260,56,994,30N,362140,697536,1260,80,O
14260,57,19,30N,362144,697525,1320,95,O
14260,58,19,30N,362119,697520,1070,90,O
14260,59,986,30N,362120,697517,1350,57,O
14260,60,994,30N,362130,697511,1000,115,O
14260,61,986,30N,362100,697502,1480,57,
14260,62,991,30N,362241,697265,1340,67,O
14260,63,965,30N,362274,697236,1100,55,O
