numero_perimetre,numero_brh,numero_feuillet,destination,code_usine,date_chargement,chauffeur,immat_camion,cout,village,numero_bille,code_essence,zone,x,y,lng,dm,cubage,observations
20410,WBRH.35763,057622,NSD'A,37,20241102,NSI,9723CB07,0,,31661A,19,30/N,0,0,800,80,4.021,
20410,WBRH.35763,057622,NSD'A,37,20241102,NSI,9723CB07,0,,31662A,19,30/N,0,0,800,84,4.433,
20410,WBRH.35763,057622,NSD'A,37,20241102,NSI,9723CB07,0,,31663A,19,30/N,0,0,1080,78,5.161,
20410,WBRH.35763,057622,NSD'A,37,20241102,NSI,9723CB07,0,,31664A,19,30/N,0,0,1040,78,4.97,
20410,WBRH.35116,051157,NSD'A,37,20241102,NSI,8318 CN07,0,,31581A,19,30/N,0,0,800,76,3.629,
20410,WBRH.35116,051157,NSD'A,37,20241102,NSI,8318 CN07,0,,31582A,19,30/N,0,0,1100,76,4.99,
20410,WBRH.35116,051157,NSD'A,37,20241102,NSI,8318 CN07,0,,31583A,19,30/N,0,0,900,76,4.083,
20410,WBRH.35116,051157,NSD'A,37,20241102,NSI,8318 CN07,0,,31584A,19,30/N,0,0,900,76,4.083,
20410,WBRH.35116,051157,NSD'A,37,20241102,NSI,8318 CN07,0,,31585A,19,30/N,0,0,550,76,2.495,
20440,WBRH.35253,052522,NSD'A,37,20241102,SMI,286 KS01,0,,55752A,19,30/N,0,0,1480,76,6.714,
20440,WBRH.35253,052522,NSD'A,37,20241102,SMI,286 KS01,0,,55753A,19,30/N,0,0,1200,76,5.444,
20440,WBRH.35253,052522,NSD'A,37,20241102,SMI,286 KS01,0,,55755A,19,30/N,0,0,940,77,4.377,
20440,WBRH.35253,052522,NSD'A,37,20241102,SMI,286 KS01,0,,55756A,19,30/N,0,0,940,80,4.725,
20440,WBRH.35253,052522,NSD'A,37,20241102,SMI,286 KS01,0,,55746A,19,30/N,0,0,1060,76,4.809,
20440,WBRH.35253,052522,NSD'A,37,20241102,SMI,286 KS01,0,,55758A,19,30/N,0,0,940,76,4.264,
20480,WBRH.35448,054472,NSD'A,37,20241102,SMI,963 KY01,0,,83649A,19,30/N,0,0,1320,90,8.397,
20480,WBRH.35448,054472,NSD'A,37,20241102,SMI,963 KY01,0,,83650A,19,30/N,0,0,1060,86,6.157,
20480,WBRH.35448,054472,NSD'A,37,20241102,SMI,963 KY01,0,,83652A,19,30/N,0,0,940,95,6.663,
20480,WBRH.35448,054472,NSD'A,37,20241102,SMI,963 KY01,0,,83651A,23,30/N,0,0,1480,67,5.218,
36580,WBRH.35519,055185,NSD'A,37,20241102,NSD'A,1219KV05,0,,53979A,19,30/N,0,0,1320,109,12.317,
36580,WBRH.35519,055185,NSD'A,37,20241102,NSD'A,1219KV05,0,,53983A,19,30/N,0,0,670,110,6.367,
36580,WBRH.35519,055185,NSD'A,37,20241102,NSD'A,1219KV05,0,,53982A,991,30/N,0,0,1320,57,3.368,
36580,WBRH.35519,055185,NSD'A,37,20241102,NSD'A,1219KV05,0,,53980A,985,30/N,0,0,1400,98,10.56,
36580,WBRH.35519,055185,NSD'A,37,20241102,NSD'A,1219KV05,0,,53980B,985,30/N,0,0,400,80,2.011,
20480,WBRH.35448,054473,NSD'A,37,20241103,SMI,963 KY01,0,,83657A,19,30/N,0,0,1060,90,6.743,
20480,WBRH.35448,054473,NSD'A,37,20241103,SMI,963 KY01,0,,83659A,19,30/N,0,0,940,76,4.264,
20480,WBRH.35448,054473,NSD'A,37,20241103,SMI,963 KY01,0,,83655A,19,30/N,0,0,800,79,3.921,
20480,WBRH.35448,054473,NSD'A,37,20241103,SMI,963 KY01,0,,83654A,991,30/N,0,0,1060,59,2.898,
20480,WBRH.35448,054473,NSD'A,37,20241103,SMI,963 KY01,0,,83653A,23,30/N,0,0,1300,70,5.003,
20480,WBRH.35448,054473,NSD'A,37,20241103,SMI,963 KY01,0,,83658A,23,30/N,0,0,1260,67,4.442,
20440,WBRH.35253,052523,NSD'A,37,20241103,SMI,939 JS01,0,,55757A,19,30/N,0,0,1200,100,9.425,
20440,WBRH.35253,052523,NSD'A,37,20241103,SMI,939 JS01,0,,55759A,19,30/N,0,0,940,90,5.98,
20440,WBRH.35253,052523,NSD'A,37,20241103,SMI,939 JS01,0,,55762A,19,30/N,0,0,670,82,3.538,
20440,WBRH.35253,052523,NSD'A,37,20241103,SMI,939 JS01,0,,55763A,19,30/N,0,0,670,78,3.202,
