foret,numero,code_essence,zone_h,x,y,lng,dm,lac
10530,608911,1,29N,567426,812666,800,50,O
10530,608912,1,29N,567426,812666,1400,60,
10530,608913,3,29N,725292,757111,1000,60,
10530,608914,3,29N,740839,762922,1100,68,
10530,608915,3,29N,740839,762922,800,45,
10530,608916,4,29N,567634,813390,1200,62,
10530,608917,4,30N,459077,719811,1200,57,
10530,608918,7,29N,577232,813710,1220,60,O
10530,608919,7,29N,577232,813710,970,43,O
10530,608920,7,29N,577422,813496,1480,60,O
10530,608921,7,29N,578632,813851,1400,65,O
10530,608922,7,29N,578644,813708,1300,70,O
10530,608923,7,30N,567380,812311,1300,60,O
10530,608924,7,29N,577869,813757,430,60,
10530,608925,7,29N,567721,813446,1400,60,O
10530,608926,7,30N,235567,675530,700,60,
10530,608927,7,29N,725274,758624,1250,70,
10530,608928,7,29N,742467,758249,900,60,
10530,608929,8,29N,567254,812509,500,58,O
10530,608930,8,29N,567254,812509,1330,60,
10530,608931,9,30N,459019,717582,1300,57,
10530,608932,9,30N,459574,719894,1100,58,
10530,608933,9,30N,459048,720233,1350,57,
10530,608934,9,30N,459170,719747,1470,57,
10530,608935,11,29N,567219,812603,940,58,O
10530,608936,11,29N,578329,813577,1300,86,O
10530,608937,11,29N,578329,813577,980,71,O
10530,608938,11,29N,578340,813615,1350,72,O
10530,608939,11,29N,578340,813615,950,58,O
10530,608940,11,29N,577605,813386,1500,60,O
10530,608941,11,29N,567228,812480,1500,60,O
10530,608942,11,29N,713720,771342,1000,55,O
10530,608943,11,29N,713684,771209,1400,65,O
10530,608944,11,29N,577635,813557,1480,75,
10530,608945,11,29N,577635,813557,1500,45,
10530,608946,11,29N,577935,813817,1460,60,
10530,608947,11,29N,577835,813817,1500,48,
10530,608948,11,29N,577922,813449,1300,73,
10530,608949,11,29N,577444,813409,1300,68,
10530,608950,11,29N,577444,813409,620,56,
10530,608951,11,29N,567414,812553,1200,68,
10530,608952,11,29N,567475,812592,1500,60,
10530,608953,11,29N,567606,813477,1330,84,
10530,608954,11,29N,567346,813016,1450,60,
10530,608955,11,29N,627092,795106,1330,54,O
10530,608956,11,29N,639650,774107,920,65,
10530,608957,11,29N,639650,774107,1160,82,
10530,608958,11,29N,628787,795490,1470,52,
10530,608959,11,29N,628695,795463,1430,54,
10530,608960,11,29N,628947,795480,1410,78,
10530,608961,11,29N,629003,795535,1330,60,
10530,608962,11,29N,639722,774145,1320,85,
10530,608963,11,29N,639722,774145,1320,64,
10530,608964,11,29N,627344,795296,1440,53,
10530,608965,11,29N,627378,795271,1500,55,
10530,608966,11,29N,627241,794956,1370,72,
10530,608967,11,29N,627241,794956,1170,50,O
10530,608968,11,30N,234562,676304,800,57,
10530,608969,11,30N,235026,673696,1100,57,
10530,608970,11,30N,235144,672805,800,57,O
10530,608971,11,30N,235152,672603,1200,50,
10530,608972,11,30N,235168,672751,1200,60,
10530,608973,11,30N,235386,672158,1000,57,
10530,608974,11,30N,235063,672806,800,57,
10530,608975,11,30N,235067,673175,400,57,
10530,608976,11,30N,235186,672188,1000,57,
10530,608977,11,30N,344504,699938,800,57,
10530,608978,11,30N,494218,829365,1100,57,
10530,608979,11,30N,496865,827110,900,57,
10530,608980,11,30N,493116,828651,1100,52,
10530,608981,11,30N,492924,828343,1000,57,
10530,608982,11,30N,493116,828651,1000,57,
10530,608983,11,30N,493395,829332,910,57,
10530,608984,11,29N,725630,757190,800,70,
10530,608985,11,29N,725702,757449,400,70,
10530,608986,11,29N,725702,757449,1200,50,
10530,608987,11,29N,725482,758368,600,70,
10530,608988,11,29N,725432,758368,1000,50,
10530,608989,11,29N,725248,758634,500,71,
10530,608990,11,29N,725418,758471,800,74,
10530,608991,11,29N,725738,758620,1000,74,
10530,608992,11,29N,725738,758620,1100,63,
10530,608993,11,30N,342822,774572,1400,57,
10530,608994,11,30N,342647,774441,1200,57,
10530,608995,11,29N,739612,762862,1050,70,
10530,608996,11,29N,742544,758251,1100,64,
10530,608997,11,30N,342422,774684,1400,57,
10530,608998,11,29N,742541,758251,900,50,
10530,608999,11,29N,742583,758346,1300,65,
10530,609000,11,30N,305632,780943,950,67,
10530,609001,11,29N,742547,758208,1200,58,
10530,609002,11,30N,471723,757376,1450,71,
10530,609003,11,30N,458482,719133,1330,57,
10530,609004,11,30N,458483,719125,1270,57,
10530,609005,11,30N,459274,719800,1220,57,
10530,609006,11,30N,459583,719890,1200,57,
10530,609007,11,30N,459583,719890,1000,40,
10530,609008,11,30N,459274,719810,1400,57,
10530,609009,11,30N,459111,720251,1400,60,
10530,609010,11,30N,459111,720251,1270,45,
10530,609011,11,30N,459122,720246,1440,57,
10530,609012,11,30N,459128,720262,1400,57,
10530,609013,11,30N,459127,720265,1400,57,
