foret,numero,code_essence,zone_h,x,y,lng,dm,lac
50001,1,16,29N,708616,719220,1050,53,
50001,2,16,30N,219498,580900,1400,50,O
50001,3,16,30N,220217,577626,1400,50,
50001,4,16,30N,220416,578044,1470,40,O
50001,5,16,30N,212367,576119,1300,50,O
50001,6,ADO,30N,212815,577681,1300,70,
50001,7,1,30N,221085,576575,1150,50,O
50001,8,1,30N,221195,576462,1370,50,O
50001,9,38,30N,221041,576652,1280,57,
50001,10,MEE,30N,219309,581100,1260,50,O
50001,11,MEE,30N,219321,581034,930,57,O
50001,12,KOS,30N,219209,580469,1150,60,
50001,13,IAT,30N,220334,577577,600,60,
50001,14,EHE,30N,220227,577834,700,64,
50001,15,DJA,30N,219494,580916,1300,40,
50001,16,DJA,30N,219395,581108,1060,40,O
50001,17,DJA,30N,219424,580422,1400,40,
50001,18,DJA,30N,220181,577694,1250,87,
50001,19,DJA,30N,220306,577551,1440,78,
50001,20,DJA,30N,220135,577395,1250,88,
50001,21,DJA,30N,220313,577980,1360,58,
50001,22,DJA,30N,220121,577973,1350,57,O
50001,23,DJA,30N,212485,576330,600,60,O
50001,24,BON,30N,213895,577205,600,50,
50001,25,BNA,29N,708775,719223,900,51,O
50001,26,BNA,29N,708682,719229,1200,50,
50001,27,BNA,29N,708698,719180,950,50,
50001,28,BDI,29N,695290,728226,1100,67,
50001,29,BDI,30N,219466,580869,1480,58,
50001,30,BDI,30N,219531,580887,960,90,
50001,31,BDI,30N,220223,577862,950,64,O
50001,32,BDI,30N,220099,577883,700,62,O
50001,33,BDI,30N,220407,578041,1430,58,O
50001,34,BDI,30N,220124,578022,1500,57,O
50001,35,BDI,30N,212317,576075,1100,57,
50001,36,BDI,30N,212169,576500,1400,50,O
50001,37,AZD,30N,219355,508684,1100,57,
50001,38,AZD,30N,219010,581102,1250,50,
50001,39,AZD,30N,221418,377131,1000,50,
50001,40,ASA,30N,212588,576405,900,50,O
50001,41,997,30N,217124,578532,1500,53,O
50001,42,997,30N,218425,581434,1350,56,
50001,43,997,30N,218398,581487,1250,57,
50001,44,997,30N,218466,581481,1160,40,
50001,45,997,30N,213935,577276,1200,50,
50001,46,997,29N,218735,580952,900,60,
50001,47,997,30N,219303,581019,1500,57,
50001,48,997,30N,219250,581023,1460,57,
50001,49,997,30N,219248,581082,1440,57,
50001,50,997,30N,212531,576418,1500,64,
50001,51,995,30N,219660,579819,1390,82,
50001,52,995,29N,695295,728136,1100,67,O
50001,53,995,29N,695436,728214,950,47,
50001,54,995,29N,219370,580498,1000,68,
50001,55,994,30N,219354,580317,700,57,O
50001,56,994,30N,212595,576385,1050,60,O
50001,57,992,30N,219431,580876,750,59,O
50001,58,992,30N,219381,581166,1000,57,O
50001,59,992,30N,220013,577869,950,50,O
50001,60,991,30N,219209,580397,1300,65,
50001,61,991,29N,695548,728122,850,76,
50001,62,991,29N,695560,727991,1400,77,
50001,63,991,29N,219381,580440,1400,74,
50001,64,991,29N,219379,580465,1000,75,
50001,65,991,29N,219388,580418,1050,65,
50001,66,991,30N,212489,576388,1300,62,
50001,67,991,30N,221098,576447,1450,50,
50001,68,991,30N,215597,576100,1000,69,O
50001,69,991,30N,167865,439295,1400,72,O
50001,70,991,30N,221200,576475,1370,50,O
50001,71,987,29N,217188,578597,950,57,
50001,72,987,30N,212283,576980,1100,50,O
50001,73,986,30N,217108,578360,1360,55,
50001,74,986,30N,212325,576070,1090,120,
50001,75,985,30N,221789,577498,1070,60,O
50001,76,985,30N,221108,576498,1450,50,O
50001,77,969,30N,219664,579819,1270,50,
50001,78,969,30N,167882,439289,750,57,
50001,79,52,30N,217124,578531,1500,94,
50001,80,52,29N,707828,723396,850,59,O
50001,81,52,29N,707758,723294,1100,57,O
50001,82,52,29N,707647,723486,900,45,
50001,83,45,30N,218411,581533,1280,57,
50001,84,44,30N,217219,578585,1480,60,
50001,85,44,30N,217240,578374,1400,45,
50001,86,44,30N,217109,578566,1260,71,
50001,87,44,30N,217131,578595,1480,61,
50001,88,44,30N,217209,578631,1350,56,
50001,89,44,30N,217244,578587,1060,65,O
50001,90,44,30N,217187,578599,1000,51,
50001,91,44,30N,218401,581105,1300,57,
50001,92,44,30N,213833,577165,1400,50,
50001,93,44,30N,707779,723378,1430,50,
50001,94,44,30N,707821,723339,1370,50,
50001,95,44,30N,219289,580902,1200,65,O
50001,96,44,30N,219206,580825,1200,45,O
50001,97,44,30N,219375,581095,1400,40,O
50001,98,44,30N,219387,581107,1000,57,O
50001,99,44,30N,217220,578587,1200,57,
50001,100,44,30N,217114,578542,1480,57,
50001,101,44,30N,219084,581148,1250,57,
50001,102,44,30N,219089,581140,960,84,
50001,103,44,30N,219341,581303,1250,40,
50001,104,44,30N,219428,580394,1200,57,
50001,105,44,30N,219386,580350,1200,60,O
