foret,numero,code_essence,zone_h,x,y,lng,dm,lac
35410,658,19,30N,458921,698745,1145,54,O
35410,659,16,30N,328455,645213,1722,79,
35410,660,21,30N,328456,645213,1722,79,O
35410,661,45,30N,328459,645213,1722,79,O
35410,662,15,30N,328459,645213,1722,79,
35410,663,12,30N,324451,645213,1722,79,
35410,664,1,30N,328651,645213,1722,79,O
35410,665,2,30N,322451,645313,1720,79,
35410,666,4,30N,328451,645213,1729,79,
35410,667,5,30N,328451,646213,1522,79,
35410,668,8,30N,328451,645913,2722,79,O
35410,669,6,30N,328451,645213,1720,79,
35410,670,11,30N,328451,645213,1722,79,
35410,671,5,30N,328451,645213,1722,79,
