foret,numero,code_essence,zone_h,x,y,lng,dm,lac
12005,1,19,30N,361951,969019,1450,90,
12005,2,19,30N,364161,699718,930,116,O
12005,3,991,30N,386740,698827,1030,57,O
12005,4,52,30N,386738,698825,1340,57,O
12005,5,19,30N,386736,698822,1300,76,O
12005,6,19,30N,386734,698820,1200,76,O
12005,7,19,30N,387567,698679,1400,74,O
12005,8,52,30N,387565,698677,900,58,O
12005,9,19,30N,387564,698675,1500,76,O
12005,10,19,30N,386763,698672,1380,60,O
12005,11,19,30N,362944,698627,1300,90,O
12005,12,52,30N,386748,698614,1430,65,O
12005,13,55,30N,386748,698585,1410,76,O
12005,14,19,30N,362750,698560,1410,78,O
12005,15,19,30N,362974,698557,1370,84,O
12005,16,55,30N,386705,698554,1280,57,O
12005,17,55,30N,386706,698551,1480,57,O
12005,18,19,30N,362758,698520,1260,120,O
12005,19,19,30N,362680,698512,1350,106,O
12005,20,19,30N,362462,698453,1450,102,O
12005,21,19,30N,362436,698437,820,100,O
12005,22,19,30N,362798,698342,1300,76,O
12005,23,19,30N,362433,698305,1400,76,O
12005,24,19,30N,362764,698249,1140,74,O
12005,25,991,30N,387668,698124,1340,67,O
