foret,numero,code_essence,zone_h,x,y,lng,dm,lac
52690,1,9,30N,367066,674981,10,60,O
52690,2,11,30N,365878,674882,12,60,O
52690,3,11,30N,366560,674983,9,60,
52690,4,11,30N,366014,675802,10,60,
52690,5,11,30N,367356,674337,11,60,
52690,6,11,30N,366374,675351,12,60,O
52690,7,19,30N,368283,673356,10,75,
52690,8,19,30N,366328,679666,10,75,
52690,9,19,30N,363385,678653,10,75,
52690,10,19,30N,363252,677538,9,75,
52690,11,19,30N,363962,677610,10,75,
52690,12,19,30N,366341,676583,8,75,
52690,13,19,30N,364222,678166,13,75,O
52690,14,19,30N,364102,678151,9,75,
52690,15,5,30N,364455,678267,7,75,
52690,16,8,30N,364598,678407,7,75,
52690,17,5,30N,364119,678173,7,75,
52690,18,5,30N,362902,678007,10,75,O
52690,19,19,30N,362919,678024,9,75,
52690,20,5,30N,362039,678780,12,75,O
52690,21,19,30N,362141,678862,13,75,O
52690,22,19,30N,361835,678023,13,75,O
52690,23,19,30N,363524,677952,12,75,O
52690,24,15,30N,363096,677223,14,80,O
52690,25,15,30N,362858,678041,13,80,O
52690,26,15,30N,364011,677661,9,80,
52690,27,19,30N,361689,677627,13,80,O
52690,28,19,30N,361722,678248,14,85,O
52690,29,19,30N,361330,677651,13,85,O
52690,30,19,30N,361034,677939,14,85,O
52690,31,19,30N,365956,674691,15,85,O
52690,32,19,30N,368481,674359,13,85,O
52690,33,19,30N,366439,674844,8,90,
52690,34,19,30N,361700,677639,10,90,
52690,35,19,30N,365906,676110,8,90,
52690,36,19,30N,366341,676583,10,90,O
52690,37,19,30N,361331,677652,12,90,
52690,38,19,30N,362818,678594,9,95,
52690,39,19,30N,363322,678121,10,95,
52690,40,19,30N,360963,677949,14,95,O
52690,41,19,30N,362945,677516,11,95,O
52690,42,19,30N,361143,677757,15,95,O
52690,43,19,30N,367971,674211,12,100,O
52690,44,19,30N,361135,677725,15,100,O
52690,45,1,30N,363418,676924,13,100,O
52690,46,1,30N,362626,678309,14,100,O
52690,47,1,30N,362540,678646,10,100,O
52690,48,2,30N,363783,677479,14,100,O
52690,49,2,30N,363630,677712,11,100,O
52690,50,19,30N,361379,677566,9,100,O
52690,51,19,30N,361758,678256,13,105,O
52690,52,19,30N,365905,674857,12,105,O
52690,53,19,30N,362654,678360,9,105,O
52690,54,19,30N,361832,677536,15,110,O
52690,55,19,30N,363729,677658,8,110,O
52690,56,19,30N,361693,677585,12,115,O
52690,57,19,30N,363773,677399,14,115,O
52690,58,19,30N,362802,678600,10,120,O
52690,59,19,30N,361381,677625,14,120,O
52690,60,19,30N,361175,678056,12,120,O
52690,61,19,30N,366217,674776,12,125,O
52690,62,19,30N,362778,678602,10,125,O
52690,63,19,30N,365800,675106,5,130,
