foret,numero,code_essence,zone_h,x,y,lng,dm,lac
10017,1,16,29N,708616,719220,1050,53,
10017,2,16,30N,219498,580900,1400,50,O
10017,3,16,30N,220217,577626,1400,50,
10017,4,16,30N,220416,578044,1470,40,O
10017,5,16,30N,212367,576119,1300,50,O
10017,6,ADO,30N,212815,577681,1300,70,
10017,7,1,30N,221085,576575,1150,50,O
10017,8,1,30N,221195,576462,1370,50,O
10017,9,38,30N,221041,576652,1280,57,
10017,10,MEE,30N,219309,581100,1260,50,O
10017,11,MEE,30N,219321,581034,930,57,O
10017,12,KOS,30N,219209,580469,1150,60,
10017,13,IAT,30N,220334,577577,600,60,
10017,14,EHE,30N,220227,577834,700,64,
10017,15,DJA,30N,219494,580916,1300,40,
10017,16,DJA,30N,219395,581108,1060,40,O
10017,17,DJA,30N,219424,580422,1400,40,
10017,18,DJA,30N,220181,577694,1250,87,
10017,19,DJA,30N,220306,577551,1440,78,
10017,20,DJA,30N,220135,577395,1250,88,
10017,21,DJA,30N,220313,577980,1360,58,
10017,22,DJA,30N,220121,577973,1350,57,O
10017,23,DJA,30N,212485,576330,600,60,O
10017,24,BON,30N,213895,577205,600,50,
10017,25,BNA,29N,708775,719223,900,51,O
10017,26,BNA,29N,708682,719229,1200,50,
10017,27,BNA,29N,708698,719180,950,50,
10017,28,BDI,29N,695290,728226,1100,67,
10017,29,BDI,30N,219466,580869,1480,58,
10017,30,BDI,30N,219531,580887,960,90,
10017,31,BDI,30N,220223,577862,950,64,O
10017,32,BDI,30N,220099,577883,700,62,O
10017,33,BDI,30N,220407,578041,1430,58,O
10017,34,BDI,30N,220124,578022,1500,57,O
10017,35,BDI,30N,212317,576075,1100,57,
10017,36,BDI,30N,212169,576500,1400,50,O
10017,37,AZD,30N,219355,508684,1100,57,
10017,38,AZD,30N,219010,581102,1250,50,
10017,39,AZD,30N,221418,377131,1000,50,
10017,40,ASA,30N,212588,576405,900,50,O
