foret,numero,code_essence,zone_h,x,y,lng,dm,lac
10530,ABOUDIKRO (SAPELLI),1,29N,567426,812666,800,50,O
10530,ABOUDIKRO (SAPELLI),1,29N,567426,812666,1400,60,
10530,AVODIRE,3,29N,725292,757111,1000,60,
10530,AVODIRE,3,29N,740839,762922,1100,68,
10530,AVODIRE,3,29N,740839,762922,800,45,
10530,BOSSE,4,29N,567634,813390,1200,62,
10530,BOSSE,4,30N,459077,719811,1200,57,
10530,IROKO,7,29N,577232,813710,1220,60,O
10530,IROKO,7,29N,577232,813710,970,43,O
10530,IROKO,7,29N,577422,813496,1480,60,O
10530,IROKO,7,29N,578632,813851,1400,65,O
10530,IROKO,7,29N,578644,813708,1300,70,O
10530,IROKO,7,30N,567380,812311,1300,60,O
10530,IROKO,7,29N,577869,813757,430,60,
10530,IROKO,7,29N,567721,813446,1400,60,O
10530,IROKO,7,30N,235567,675530,700,60,
10530,IROKO,7,29N,725274,758624,1250,70,
10530,IROKO,7,29N,742467,758249,900,60,
10530,MAKORE,8,29N,567254,812509,500,58,O
10530,MAKORE,8,29N,567254,812509,1330,60,
10530,TIAMA,9,30N,459019,717582,1300,57,
10530,TIAMA,9,30N,459574,719894,1100,58,
10530,TIAMA,9,30N,459048,720233,1350,57,
10530,TIAMA,9,30N,459170,719747,1470,57,
10530,SAMBA,11,29N,567219,812603,940,58,O
10530,SAMBA,11,29N,578329,813577,1300,86,O
10530,SAMBA,11,29N,578329,813577,980,71,O
10530,SAMBA,11,29N,578340,813615,1350,72,O
10530,SAMBA,11,29N,578340,813615,950,58,O
10530,SAMBA,11,29N,577605,813386,1500,60,O
10530,SAMBA,11,29N,567228,812480,1500,60,O
10530,SAMBA,11,29N,713720,771342,1000,55,O
10530,SAMBA,11,29N,713684,771209,1400,65,O
10530,SAMBA,11,29N,577635,813557,1480,75,
10530,SAMBA,11,29N,577635,813557,1500,45,
10530,SAMBA,11,29N,577935,813817,1460,60,
10530,SAMBA,11,29N,577835,813817,1500,48,
10530,SAMBA,11,29N,577922,813449,1300,73,
10530,SAMBA,11,29N,577444,813409,1300,68,
10530,SAMBA,11,29N,577444,813409,620,56,
10530,SAMBA,11,29N,567414,812553,1200,68,
10530,SAMBA,11,29N,567475,812592,1500,60,
10530,SAMBA,11,29N,567606,813477,1330,84,
10530,SAMBA,11,29N,567346,813016,1450,60,
10530,SAMBA,11,29N,627092,795106,1330,54,O
10530,SAMBA,11,29N,639650,774107,920,65,
10530,SAMBA,11,29N,639650,774107,1160,82,
