foret,numero,code_essence,zone_h,x,y,lng,dm,lac
15440,125,15,30N,458921,698745,1145,54,O
15440,126,15,30N,125986,645213,1722,79,
15440,127,19,30N,872359,365895,2540,80,O
15440,128,44,30N,587333,145789,1785,56,O
15440,129,16,30N,716774,447856,2350,96,
15440,130,16,30N,846215,897231,984,89,
15440,131,16,30N,975656,897516,1200,74,O
15440,132,16,29N,328451,262241,1240,68,
15440,133,16,29N,457892,205554,781,56,
15440,134,24,29N,587333,125896,896,77,O
15440,135,24,29N,716774,573248,1250,45,
15440,136,2,29N,897512,167898,1780,89,O
15440,137,2,29N,175202,123659,1640,99,O
