foret,numero,code_essence,zone_h,x,y,lng,dm,lac
50200,164,24,29N,219357,580461,1400,55,
50200,165,24,29N,219297,580432,1400,46,
50200,166,24,29N,219308,580481,1500,57,
50200,167,23,30N,218745,582297,1500,57,O
50200,168,23,30N,217104,578525,1030,52,
50200,169,23,30N,217231,578595,1060,63,
50200,170,23,30N,218430,581439,1460,55,
50200,171,23,30N,218400,581509,800,57,
50200,172,23,29N,707761,723282,1480,67,
50200,173,23,29N,707738,723316,1400,47,
50200,174,23,30N,219405,581109,1170,60,
50200,175,23,30N,219359,580691,1300,67,
50200,176,23,30N,220474,577043,1400,67,
50200,177,23,30N,220208,577608,600,60,O
50200,178,23,30N,212190,576509,1400,60,O
50200,179,23,30N,221104,576467,1250,40,
50200,180,23,30N,215603,576103,1100,70,O
50200,181,23,30N,167869,732065,1280,60,O
50200,182,19,30N,217239,578573,930,105,O
50200,183,19,30N,217107,578558,970,133,
50200,184,19,30N,217123,578530,1400,80,O
50200,185,19,30N,217107,578658,1300,60,
50200,186,19,30N,217218,578585,1300,55,O
50200,187,19,30N,216761,578242,1200,76,
50200,188,19,30N,217187,578597,1260,55,O
50200,189,19,30N,218855,582291,1200,76,O
50200,190,19,30N,218863,582297,1160,76,
50200,191,19,30N,218888,582301,1100,60,
50200,192,19,30N,218744,582297,1200,80,
50200,193,19,30N,217108,578658,900,50,
50200,194,19,30N,218488,581503,1100,52,
50200,195,19,30N,218380,581098,1380,80,
50200,196,19,30N,218687,581795,1200,104,
50200,197,19,30N,218595,581897,1180,112,
50200,198,19,30N,219673,578987,1080,100,
50200,199,19,30N,219685,579663,400,60,
50200,200,19,30N,219657,579814,1080,76,
50200,201,19,30N,219198,580432,700,76,
50200,202,19,30N,219677,579816,1300,55,
50200,203,19,30N,213817,577155,1170,76,
50200,204,19,30N,213905,577209,570,76,
50200,205,19,30N,213918,577281,500,105,
50200,206,19,30N,694012,728826,600,60,
50200,207,19,30N,694086,728876,1500,76,
50200,208,19,30N,694137,728883,1500,76,
50200,209,19,29N,695244,728255,1000,80,
50200,210,19,29N,708712,719188,1150,100,
50200,211,19,29N,219066,581753,1000,110,
50200,212,19,30N,219361,581297,980,90,
50200,213,19,30N,219371,580337,1380,50,
50200,214,19,30N,219187,580413,1270,76,
50200,215,19,30N,219509,580894,1470,76,
50200,216,19,30N,219328,580907,1470,50,
50200,217,19,30N,219206,581025,1460,76,
50200,218,19,30N,219318,581066,1080,77,
50200,219,19,30N,219299,581085,1400,55,O
50200,220,19,30N,219416,581131,800,90,
50200,221,19,30N,219297,581081,1150,102,
50200,222,19,30N,219301,581122,980,130,
50200,223,19,30N,219266,581138,1100,118,
50200,224,19,30N,217258,578555,930,100,
50200,225,19,30N,217260,578553,1470,84,
50200,226,19,30N,219333,581092,1000,120,
50200,227,19,30N,219309,580480,950,124,
50200,228,19,30N,219311,580444,1200,76,
50200,229,19,30N,219030,581189,1180,115,
50200,230,19,30N,219087,581232,1000,90,
50200,231,19,30N,219095,581207,1000,120,O
50200,232,19,30N,219051,581128,1040,105,O
50200,233,19,30N,219041,581119,1080,70,O
50200,234,19,30N,219066,581132,1300,76,O
50200,235,19,30N,219079,581442,1400,90,
50200,236,19,30N,218930,581071,1000,60,O
50200,237,19,30N,218907,581082,1500,76,O
50200,238,19,30N,219289,581131,1500,76,O
50200,239,19,30N,219399,581181,850,128,
50200,240,19,30N,219208,581115,1280,76,
50200,241,19,30N,219181,581107,1040,60,
50200,242,19,30N,219177,581098,1240,84,O
50200,243,19,30N,219119,581079,1140,100,O
50200,244,19,30N,219327,581290,1080,134,
50200,245,19,30N,219410,580435,1260,80,
50200,246,19,30N,219330,580430,980,78,O
50200,247,19,30N,219314,580446,1240,50,O
50200,248,19,30N,219408,580508,1050,79,O
50200,249,19,30N,219392,580469,1100,76,O
50200,250,19,30N,219388,580481,1060,76,
50200,251,19,30N,219385,580415,1150,107,O
50200,252,19,30N,219653,580076,1000,88,O
50200,253,19,30N,219352,580306,1150,55,
50200,254,19,30N,219461,580341,1000,110,
50200,255,19,30N,219355,580240,1100,50,
50200,256,19,30N,220531,576962,1080,132,
50200,257,19,30N,220608,577021,1000,125,
50200,258,19,30N,220387,577095,780,94,
50200,259,19,30N,220591,576982,1200,94,O
50200,260,19,30N,220518,577579,1000,76,O
50200,261,19,30N,220189,577814,570,90,O
50200,262,19,30N,220200,577844,980,120,O
50200,263,19,30N,220339,577591,800,85,O
50200,264,19,30N,220100,577530,1400,76,O
50200,265,19,30N,220130,578018,1030,76,
50200,266,19,30N,220200,577806,1470,76,O
50200,267,19,30N,220318,577134,1200,55,
50200,268,19,30N,220327,577969,1350,76,O
50200,269,19,30N,220391,578038,1400,76,O
50200,270,19,30N,221359,577147,1100,76,O
50200,271,19,30N,212118,576390,1200,50,
50200,272,19,30N,212488,576320,1360,55,O
50200,273,19,30N,212566,576466,1170,58,
50200,274,19,30N,212507,576227,1100,90,
50200,275,19,30N,212153,576492,1180,55,O
50200,276,19,30N,212038,576392,1300,82,O
50200,277,19,30N,211424,576239,1100,95,O
50200,278,19,30N,211428,576265,980,100,
50200,279,19,30N,212095,576405,970,135,O
50200,280,19,30N,212095,576418,1000,122,O
50200,281,19,30N,211323,576293,930,96,
50200,282,19,30N,211810,576451,1400,77,
50200,283,19,30N,212062,576370,1100,88,
50200,284,19,30N,212765,578762,1280,117,O
50200,285,19,30N,212784,577645,1000,60,O
50200,286,19,30N,212711,577605,1100,80,O
50200,287,19,30N,212699,577581,1450,76,
50200,288,19,30N,221035,576608,1300,65,O
50200,289,19,30N,215469,576076,1070,85,
50200,290,19,30N,215496,576047,1470,60,O
50200,291,19,30N,215528,575970,1400,80,O
50200,292,19,30N,215525,575979,1200,76,O
50200,293,19,30N,215477,575980,1180,76,O
50200,294,19,30N,215545,576093,1480,76,
50200,295,19,30N,215681,576131,1450,60,O
50200,296,19,30N,215707,576208,800,95,O
50200,297,19,30N,215702,576199,900,125,
50200,298,19,30N,215698,576111,1400,98,
50200,299,19,30N,167733,439216,670,92,
50200,300,19,30N,167866,439267,1400,60,O
50200,301,19,30N,167854,439262,1300,70,O
50200,302,19,30N,167889,439210,1050,108,O
50200,303,19,30N,167894,439281,1100,60,O
50200,304,19,30N,167872,439234,1400,76,O
50200,305,19,30N,167826,439239,1000,55,O
